"Population by disability type","Number"
"Blind/low vision",""
"Female","133"
"Male","151"
"","284"
"Deaf/hard of hearing",""
"Female","67"
"Male","81"
"","148"
"Deaf-Blind",""
"Female","15"
"Male","15"
"","30"
"Intellectual disable",""
"Female","11"
"Male","19"
"","30"
"Mental disable",""
"Female","33"
"Male","42"
"","75"
"Multiple disable",""
"Female","20"
"Male","24"
"","44"
"No disability",""
"Female","32768"
"Male","32815"
"","65583"
"Physical",""
"Female","159"
"Male","227"
"","386"
"Speech problem",""
"Female","46"
"Male","53"
"","99"
