"Population by Educational Attainment","Number"
"Beginners",""
"Female","1174"
"Male","1172"
"Graduate and Equivalent",""
"Female","143"
"Male","532"
"Intermediate and Equivalent",""
"Female","1199"
"Male","1512"
"Level not Stated",""
"Female","61"
"Male","63"
"Lower Secondary (Class 6-8)",""
"Female","5692"
"Male","6776"
"Non Formal Education",""
"Female","1280"
"Male","1292"
"Others",""
"Female","15"
"Male","33"
"Post Graduate Equivalent and Above",""
"Female","18"
"Male","148"
"Primary Education (1-5 Class)",""
"Female","14161"
"Male","17037"
"Secondary Level (Class 9-10)",""
"Female","2787"
"Male","3266"
"SLC and Equivalent",""
"Female","1993"
"Male","2491"
