"Population by Single Year of Age","Number"
"0",""
"Female","377"
"Male","396"
"1",""
"Female","408"
"Male","434"
"10",""
"Female","441"
"Male","534"
"11",""
"Female","467"
"Male","404"
"12",""
"Female","524"
"Male","523"
"13",""
"Female","445"
"Male","389"
"14",""
"Female","435"
"Male","378"
"15",""
"Female","412"
"Male","319"
"16",""
"Female","364"
"Male","290"
"17",""
"Female","354"
"Male","262"
"18",""
"Female","336"
"Male","235"
"19",""
"Female","281"
"Male","157"
"2",""
"Female","452"
"Male","419"
"20",""
"Female","334"
"Male","150"
"21",""
"Female","261"
"Male","160"
"22",""
"Female","328"
"Male","165"
"23",""
"Female","246"
"Male","141"
"24",""
"Female","233"
"Male","107"
"25",""
"Female","324"
"Male","128"
"26",""
"Female","209"
"Male","119"
"27",""
"Female","261"
"Male","118"
"28",""
"Female","226"
"Male","117"
"29",""
"Female","163"
"Male","77"
"3",""
"Female","463"
"Male","463"
"30",""
"Female","262"
"Male","136"
"31",""
"Female","161"
"Male","77"
"32",""
"Female","200"
"Male","111"
"33",""
"Female","172"
"Male","85"
"34",""
"Female","140"
"Male","84"
"35",""
"Female","276"
"Male","135"
"36",""
"Female","145"
"Male","94"
"37",""
"Female","151"
"Male","100"
"38",""
"Female","149"
"Male","100"
"39",""
"Female","131"
"Male","79"
"4",""
"Female","494"
"Male","509"
"40",""
"Female","273"
"Male","144"
"41",""
"Female","122"
"Male","108"
"42",""
"Female","137"
"Male","125"
"43",""
"Female","116"
"Male","102"
"44",""
"Female","93"
"Male","74"
"45",""
"Female","222"
"Male","134"
"46",""
"Female","101"
"Male","86"
"47",""
"Female","113"
"Male","82"
"48",""
"Female","111"
"Male","94"
"49",""
"Female","104"
"Male","98"
"5",""
"Female","469"
"Male","504"
"50",""
"Female","204"
"Male","133"
"51",""
"Female","113"
"Male","95"
"52",""
"Female","119"
"Male","102"
"53",""
"Female","86"
"Male","73"
"54",""
"Female","70"
"Male","70"
"55",""
"Female","132"
"Male","127"
"56",""
"Female","89"
"Male","89"
"57",""
"Female","91"
"Male","90"
"58",""
"Female","91"
"Male","101"
"59",""
"Female","90"
"Male","87"
"6",""
"Female","433"
"Male","472"
"60",""
"Female","165"
"Male","123"
"61",""
"Female","97"
"Male","69"
"62",""
"Female","80"
"Male","86"
"63",""
"Female","70"
"Male","72"
"64",""
"Female","56"
"Male","54"
"65",""
"Female","102"
"Male","84"
"66",""
"Female","49"
"Male","46"
"67",""
"Female","85"
"Male","78"
"68",""
"Female","47"
"Male","61"
"69",""
"Female","32"
"Male","45"
"7",""
"Female","536"
"Male","509"
"70",""
"Female","81"
"Male","69"
"71",""
"Female","41"
"Male","47"
"72",""
"Female","29"
"Male","49"
"73",""
"Female","20"
"Male","36"
"74",""
"Female","23"
"Male","31"
"75",""
"Female","51"
"Male","45"
"76",""
"Female","23"
"Male","22"
"77",""
"Female","24"
"Male","22"
"78",""
"Female","16"
"Male","25"
"79",""
"Female","16"
"Male","15"
"8",""
"Female","506"
"Male","510"
"80",""
"Female","25"
"Male","29"
"81",""
"Female","15"
"Male","13"
"82",""
"Female","18"
"Male","12"
"83",""
"Female","7"
"Male","11"
"84",""
"Female","8"
"Male","10"
"85",""
"Female","23"
"Male","25"
"9",""
"Female","430"
"Male","448"
