"Population by disability type","Number"
"Blind/low vision",""
"Female","31"
"Male","33"
"","64"
"Deaf/hard of hearing",""
"Female","31"
"Male","29"
"","60"
"Deaf-Blind",""
"Female","5"
"Male","7"
"","12"
"Intellectual disable",""
"Female","6"
"Male","9"
"","15"
"Mental disable",""
"Female","16"
"Male","27"
"","43"
"Multiple disable",""
"Female","9"
"Male","13"
"","22"
"No disability",""
"Female","18889"
"Male","18097"
"","36986"
"Physical",""
"Female","75"
"Male","76"
"","151"
"Speech problem",""
"Female","29"
"Male","36"
"","65"
