"Population by Educational Attainment","Number"
"Beginners",""
"Female","496"
"Male","548"
"","1044"
"Graduate and Equivalent",""
"Female","83"
"Male","192"
"","275"
"Intermediate and Equivalent",""
"Female","283"
"Male","536"
"","819"
"Level not Stated",""
"Female","19"
"Male","22"
"","41"
"Lower Secondary (Class 6-8)",""
"Female","1987"
"Male","2840"
"","4827"
"Non Formal Education",""
"Female","137"
"Male","79"
"","216"
"Others",""
"Female","11"
"Male","7"
"","18"
"Post Graduate Equivalent and Above",""
"Female","9"
"Male","68"
"","77"
"Primary Education (1-5 Class)",""
"Female","4217"
"Male","5403"
"","9620"
"Secondary Level (Class 9-10)",""
"Female","1042"
"Male","1706"
"","2748"
"SLC and Equivalent",""
"Female","451"
"Male","754"
"","1205"
