"Population by Educational Attainment","Number"
"Beginners",""
"Female","2572"
"Male","2917"
"Graduate and Equivalent",""
"Female","399"
"Male","979"
"Intermediate and Equivalent",""
"Female","1810"
"Male","2138"
"Level not Stated",""
"Female","170"
"Male","212"
"Lower Secondary (Class 6-8)",""
"Female","14849"
"Male","12046"
"Non Formal Education",""
"Female","3754"
"Male","3689"
"Others",""
"Female","70"
"Male","68"
"Post Graduate Equivalent and Above",""
"Female","65"
"Male","372"
"Primary Education (1-5 Class)",""
"Female","27753"
"Male","26776"
"Secondary Level (Class 9-10)",""
"Female","8439"
"Male","6454"
"SLC and Equivalent",""
"Female","8613"
"Male","6931"
