"Population by Educational Attainment","Number"
"Beginners",""
"Female","91"
"Male","92"
"Graduate and Equivalent",""
"Female","10"
"Male","39"
"Intermediate and Equivalent",""
"Female","125"
"Male","152"
"Level not Stated",""
"Female","22"
"Male","29"
"Lower Secondary (Class 6-8)",""
"Female","1047"
"Male","1004"
"Non Formal Education",""
"Female","344"
"Male","415"
"Others",""
"Female","5"
"Male","6"
"Post Graduate Equivalent and Above",""
"Female","2"
"Male","14"
"Primary Education (1-5 Class)",""
"Female","2006"
"Male","2083"
"Secondary Level (Class 9-10)",""
"Female","631"
"Male","721"
"SLC and Equivalent",""
"Female","465"
"Male","490"
