"Population by disability type","Number"
"Blind/low vision",""
"Female","20"
"Male","18"
"","38"
"Deaf/hard of hearing",""
"Female","17"
"Male","19"
"","36"
"Deaf-Blind",""
"Female","2"
"Male","4"
"","6"
"Intellectual disable",""
"Female","3"
"Male","13"
"","16"
"Mental disable",""
"Female","10"
"Male","10"
"","20"
"Multiple disable",""
"Female","5"
"Male","8"
"","13"
"No disability",""
"Female","6800"
"Male","5721"
"","12521"
"Physical",""
"Female","33"
"Male","33"
"","66"
"Speech problem",""
"Female","12"
"Male","21"
"","33"
