"Population by Educational Attainment","Number"
"Beginners",""
"Female","359"
"Male","383"
"","742"
"Graduate and Equivalent",""
"Female","67"
"Male","248"
"","315"
"Intermediate and Equivalent",""
"Female","382"
"Male","553"
"","935"
"Level not Stated",""
"Female","41"
"Male","43"
"","84"
"Lower Secondary (Class 6-8)",""
"Female","1627"
"Male","1805"
"","3432"
"Non Formal Education",""
"Female","416"
"Male","311"
"","727"
"Others",""
"Female","4"
"Male","2"
"","6"
"Post Graduate Equivalent and Above",""
"Female","14"
"Male","64"
"","78"
"Primary Education (1-5 Class)",""
"Female","3378"
"Male","3604"
"","6982"
"Secondary Level (Class 9-10)",""
"Female","920"
"Male","1230"
"","2150"
"SLC and Equivalent",""
"Female","441"
"Male","503"
"","944"
