"Population by disability type","Number"
"Blind/low vision",""
"Female","65"
"Male","69"
"","134"
"Deaf/hard of hearing",""
"Female","60"
"Male","73"
"","133"
"Deaf-Blind",""
"Female","5"
"Male","5"
"","10"
"Intellectual disable",""
"Female","6"
"Male","3"
"","9"
"Mental disable",""
"Female","9"
"Male","11"
"","20"
"Multiple disable",""
"Female","30"
"Male","29"
"","59"
"No disability",""
"Female","16658"
"Male","16248"
"","32906"
"Physical",""
"Female","116"
"Male","138"
"","254"
"Speech problem",""
"Female","29"
"Male","47"
"","76"
