"Population by disability type","Number"
"Blind/low vision",""
"Female","55"
"Male","52"
"","107"
"Deaf/hard of hearing",""
"Female","54"
"Male","60"
"","114"
"Deaf-Blind",""
"Female","8"
"Male","8"
"","16"
"Intellectual disable",""
"Female","6"
"Male","8"
"","14"
"Mental disable",""
"Female","11"
"Male","30"
"","41"
"Multiple disable",""
"Female","31"
"Male","41"
"","72"
"No disability",""
"Female","16168"
"Male","14327"
"","30495"
"Physical",""
"Female","97"
"Male","144"
"","241"
"Speech problem",""
"Female","37"
"Male","40"
"","77"
