"Population by disability type","Number"
"Blind/low vision",""
"Female","52"
"Male","46"
"","98"
"Deaf/hard of hearing",""
"Female","58"
"Male","58"
"","116"
"Deaf-Blind",""
"Female","12"
"Male","8"
"","20"
"Intellectual disable",""
"Female","5"
"Male","9"
"","14"
"Mental disable",""
"Female","15"
"Male","16"
"","31"
"Multiple disable",""
"Female","22"
"Male","28"
"","50"
"No disability",""
"Female","17749"
"Male","15262"
"","33011"
"Physical",""
"Female","118"
"Male","175"
"","293"
"Speech problem",""
"Female","38"
"Male","59"
"","97"
