"Population by Educational Attainment","Number"
"Beginners",""
"Female","394"
"Male","456"
"","850"
"Graduate and Equivalent",""
"Female","162"
"Male","272"
"","434"
"Intermediate and Equivalent",""
"Female","743"
"Male","690"
"","1433"
"Level not Stated",""
"Female","13"
"Male","16"
"","29"
"Lower Secondary (Class 6-8)",""
"Female","3815"
"Male","2729"
"","6544"
"Non Formal Education",""
"Female","939"
"Male","793"
"","1732"
"Others",""
"Female","16"
"Male","20"
"","36"
"Post Graduate Equivalent and Above",""
"Female","26"
"Male","119"
"","145"
"Primary Education (1-5 Class)",""
"Female","4914"
"Male","4716"
"","9630"
"Secondary Level (Class 9-10)",""
"Female","2372"
"Male","1850"
"","4222"
"SLC and Equivalent",""
"Female","1297"
"Male","1296"
"","2593"
