"Population by disability type","Number"
"Blind/low vision",""
"Female","59"
"Male","58"
"","117"
"Deaf/hard of hearing",""
"Female","52"
"Male","39"
"","91"
"Deaf-Blind",""
"Female","6"
"Male","2"
"","8"
"Intellectual disable",""
"Female","14"
"Male","21"
"","35"
"Mental disable",""
"Female","27"
"Male","36"
"","63"
"Multiple disable",""
"Female","27"
"Male","26"
"","53"
"No disability",""
"Female","20992"
"Male","16100"
"","37092"
"Physical",""
"Female","112"
"Male","144"
"","256"
"Speech problem",""
"Female","45"
"Male","49"
"","94"
