"Population by Mother tongue","Number"
"Achhami",""
"Female","2"
"Male","9"
"","11"
"Avadhi",""
"Female","61"
"Male","112"
"","173"
"Bahing",""
"Female","40"
"Male","41"
"","81"
"Baitadeli",""
"Female","7"
"Male","7"
"","14"
"Bajjika",""
"Female","23"
"Male","69"
"","92"
"Bangla",""
"Female","102"
"Male","252"
"","354"
"Bantawa",""
"Female","234"
"Male","237"
"","471"
"Bhojpuri",""
"Female","1423"
"Male","3312"
"","4735"
"Bhujel",""
"Female","13"
"Male","10"
"","23"
"Chamling",""
"Female","236"
"Male","171"
"","407"
"Chepang",""
"Female","15"
"Male","20"
"","35"
"Chinese",""
"Female","7"
"Male","11"
"","18"
"Danuwar",""
"Female","464"
"Male","458"
"","922"
"Darai",""
"Female","13"
"Male","13"
"","26"
"Dhimal",""
"Female","22"
"Male","21"
"","43"
"Doteli",""
"Female","111"
"Male","198"
"","309"
"Dungmali",""
"Female","12"
"Male","12"
"","24"
"Dura",""
"Female","7"
"Male","8"
"","15"
"English",""
"Female","255"
"Male","265"
"","520"
"French",""
"Female","10"
"Male","8"
"","18"
"Ghale",""
"Female","34"
"Male","28"
"","62"
"Gurung",""
"Female","1475"
"Male","1363"
"","2838"
"Hindi",""
"Female","800"
"Male","1664"
"","2464"
"Jirel",""
"Female","32"
"Male","31"
"","63"
"Khaling",""
"Female","29"
"Male","23"
"","52"
"Kham",""
"Female","75"
"Male","57"
"","132"
"Kulung",""
"Female","26"
"Male","28"
"","54"
"Kumal",""
"Female","4"
"Male","10"
"","14"
"Lapcha",""
"Female","11"
"Male","9"
"","20"
"Lhomi",""
"Female","18"
"Male","16"
"","34"
"Limbu",""
"Female","1315"
"Male","1256"
"","2571"
"Magar",""
"Female","3241"
"Male","3371"
"","6612"
"Maithili",""
"Female","3877"
"Male","7515"
"","11392"
"Majhi",""
"Female","69"
"Male","92"
"","161"
"Mizo",""
"Female","10"
"Male","10"
"","20"
"Nachhiring",""
"Female","20"
"Male","14"
"","34"
"Nepali",""
"Female","108338"
"Male","107888"
"","216226"
"Newar",""
"Female","70393"
"Male","68081"
"","138474"
"Not Reported",""
"Female","156"
"Male","178"
"","334"
"Oriya",""
"Female","16"
"Male","22"
"","38"
"Others",""
"Female","727"
"Male","679"
"","1406"
"Pahari",""
"Female","977"
"Male","1065"
"","2042"
"Puma",""
"Female","17"
"Male","7"
"","24"
"Punjabi",""
"Female","51"
"Male","66"
"","117"
"Rai",""
"Female","2522"
"Male","2303"
"","4825"
"Rajbanshi",""
"Female","45"
"Male","69"
"","114"
"Rajsthani",""
"Female","116"
"Male","115"
"","231"
"Sampang",""
"Female","34"
"Male","37"
"","71"
"Santhali",""
"Female","7"
"Male","7"
"","14"
"Sherpa",""
"Female","348"
"Male","286"
"","634"
"Sign Language",""
"Female","6"
"Male","7"
"","13"
"Sunuwar",""
"Female","356"
"Male","367"
"","723"
"Tamang",""
"Female","26271"
"Male","26056"
"","52327"
"Thakali",""
"Female","69"
"Male","50"
"","119"
"Thami",""
"Female","39"
"Male","44"
"","83"
"Tharu",""
"Female","1278"
"Male","1855"
"","3133"
"Thulung",""
"Female","74"
"Male","80"
"","154"
"Tibetan",""
"Female","319"
"Male","265"
"","584"
"Uranw/Urau",""
"Female","10"
"Male","11"
"","21"
"Urdu",""
"Female","253"
"Male","480"
"","733"
"Wambule",""
"Female","109"
"Male","113"
"","222"
"Yakkha",""
"Female","59"
"Male","43"
"","102"
"Yamphu/Yamphe",""
"Female","13"
"Male","15"
"","28"
