"Population by disability type","Number"
"Blind/low vision",""
"Female","395"
"Male","389"
"","784"
"Deaf/hard of hearing",""
"Female","417"
"Male","382"
"","799"
"Deaf-Blind",""
"Female","34"
"Male","29"
"","63"
"Intellectual disable",""
"Female","104"
"Male","120"
"","224"
"Mental disable",""
"Female","177"
"Male","215"
"","392"
"Multiple disable",""
"Female","145"
"Male","152"
"","297"
"No disability",""
"Female","224445"
"Male","228374"
"","452819"
"Physical",""
"Female","700"
"Male","930"
"","1630"
"Speech problem",""
"Female","279"
"Male","319"
"","598"
