"Population by disability type","Number"
"Blind/low vision",""
"Female","361"
"Male","358"
"","719"
"Deaf/hard of hearing",""
"Female","247"
"Male","351"
"","598"
"Deaf-Blind",""
"Female","31"
"Male","35"
"","66"
"Intellectual disable",""
"Female","29"
"Male","31"
"","60"
"Mental disable",""
"Female","64"
"Male","95"
"","159"
"Multiple disable",""
"Female","125"
"Male","135"
"","260"
"No disability",""
"Female","67956"
"Male","60865"
"","128821"
"Physical",""
"Female","685"
"Male","786"
"","1471"
"Speech problem",""
"Female","122"
"Male","208"
"","330"
