"Population by disability type","Number"
"Blind/low vision",""
"Female","14"
"Male","14"
"","28"
"Deaf/hard of hearing",""
"Female","9"
"Male","16"
"","25"
"Deaf-Blind",""
"Female","0"
"Male","0"
"","0"
"Intellectual disable",""
"Female","1"
"Male","1"
"","2"
"Mental disable",""
"Female","1"
"Male","0"
"","1"
"Multiple disable",""
"Female","2"
"Male","1"
"","3"
"No disability",""
"Female","2950"
"Male","2872"
"","5822"
"Physical",""
"Female","35"
"Male","36"
"","71"
"Speech problem",""
"Female","4"
"Male","8"
"","12"
