"Population by disability type","Number"
"Blind/low vision",""
"Female","260"
"Male","270"
"","530"
"Deaf/hard of hearing",""
"Female","285"
"Male","311"
"","596"
"Deaf-Blind",""
"Female","28"
"Male","31"
"","59"
"Intellectual disable",""
"Female","49"
"Male","64"
"","113"
"Mental disable",""
"Female","144"
"Male","165"
"","309"
"Multiple disable",""
"Female","104"
"Male","91"
"","195"
"No disability",""
"Female","79556"
"Male","62460"
"","142016"
"Physical",""
"Female","615"
"Male","777"
"","1392"
"Speech problem",""
"Female","196"
"Male","261"
"","457"
