"Population by disability type","Number"
"Blind/low vision",""
"Female","963"
"Male","1107"
"","2070"
"Deaf/hard of hearing",""
"Female","1087"
"Male","1172"
"","2259"
"Deaf-Blind",""
"Female","75"
"Male","105"
"","180"
"Intellectual disable",""
"Female","245"
"Male","234"
"","479"
"Mental disable",""
"Female","607"
"Male","607"
"","1214"
"Multiple disable",""
"Female","719"
"Male","731"
"","1450"
"No disability",""
"Female","420011"
"Male","372703"
"","792714"
"Physical",""
"Female","2206"
"Male","3284"
"","5490"
"Speech problem",""
"Female","953"
"Male","1125"
"","2078"
