"Population by disability type","Number"
"Blind/low vision",""
"Female","9"
"Male","4"
"","13"
"Deaf/hard of hearing",""
"Female","16"
"Male","9"
"","25"
"Deaf-Blind",""
"Female","1"
"Male","1"
"","2"
"Intellectual disable",""
"Female","0"
"Male","0"
"","0"
"Mental disable",""
"Female","3"
"Male","0"
"","3"
"Multiple disable",""
"Female","1"
"Male","1"
"","2"
"No disability",""
"Female","692"
"Male","645"
"","1337"
"Physical",""
"Female","11"
"Male","17"
"","28"
"Speech problem",""
"Female","8"
"Male","5"
"","13"
