"Population by disability type","Number"
"Blind/low vision",""
"Female","207"
"Male","171"
"","378"
"Deaf/hard of hearing",""
"Female","157"
"Male","143"
"","300"
"Deaf-Blind",""
"Female","21"
"Male","15"
"","36"
"Intellectual disable",""
"Female","23"
"Male","34"
"","57"
"Mental disable",""
"Female","44"
"Male","43"
"","87"
"Multiple disable",""
"Female","35"
"Male","56"
"","91"
"No disability",""
"Female","20061"
"Male","16081"
"","36142"
"Physical",""
"Female","181"
"Male","250"
"","431"
"Speech problem",""
"Female","78"
"Male","83"
"","161"
