"Population by Mother tongue","Number"
"Bajjika",""
"Female","199622"
"Male","214198"
"Bangla",""
"Female","179"
"Male","188"
"Bhojpuri",""
"Female","14390"
"Male","15086"
"Danuwar",""
"Female","431"
"Male","396"
"Darai",""
"Female","63"
"Male","73"
"Doteli",""
"Female","289"
"Male","353"
"Ganagai",""
"Female","117"
"Male","130"
"Gurung",""
"Female","86"
"Male","75"
"Hindi",""
"Female","391"
"Male","417"
"Kham",""
"Female","46"
"Male","42"
"Limbu",""
"Female","13"
"Male","12"
"Magar",""
"Female","1271"
"Male","1203"
"Maithili",""
"Female","9986"
"Male","10568"
"Majhi",""
"Female","750"
"Male","703"
"Mewahang",""
"Female","64"
"Male","56"
"Nepali",""
"Female","21073"
"Male","20634"
"Newar",""
"Female","691"
"Male","692"
"Not Reported",""
"Female","1106"
"Male","1226"
"Others",""
"Female","294"
"Male","201"
"Pahari",""
"Female","39"
"Male","44"
"Rai",""
"Female","723"
"Male","770"
"Rajbanshi",""
"Female","11"
"Male","18"
"Rajsthani",""
"Female","114"
"Male","123"
"Sherpa",""
"Female","5"
"Male","6"
"Sign Language",""
"Female","8"
"Male","14"
"Sunuwar",""
"Female","152"
"Male","142"
"Tajpuriya",""
"Female","21"
"Male","25"
"Tamang",""
"Female","5776"
"Male","5821"
"Thami",""
"Female","6"
"Male","6"
"Tharu",""
"Female","11197"
"Male","11194"
"Urdu",""
"Female","66386"
"Male","65729"
"Waling/Walung",""
"Female","3"
"Male","8"
"Yakkha",""
"Female","308"
"Male","295"
