"Population by Educational Attainment","Number"
"Beginners",""
"Female","1079"
"Male","1241"
"Graduate and Equivalent",""
"Female","1196"
"Male","2055"
"Intermediate and Equivalent",""
"Female","2538"
"Male","3195"
"Level not Stated",""
"Female","161"
"Male","169"
"Lower Secondary (Class 6-8)",""
"Female","4026"
"Male","4748"
"Non Formal Education",""
"Female","532"
"Male","309"
"Others",""
"Female","69"
"Male","36"
"Post Graduate Equivalent and Above",""
"Female","247"
"Male","757"
"Primary Education (1-5 Class)",""
"Female","6177"
"Male","6815"
"Secondary Level (Class 9-10)",""
"Female","2873"
"Male","3608"
"SLC and Equivalent",""
"Female","2643"
"Male","2931"
