"Population by disability type","Number"
"Blind/low vision",""
"Female","66"
"Male","63"
"","129"
"Deaf/hard of hearing",""
"Female","61"
"Male","71"
"","132"
"Deaf-Blind",""
"Female","7"
"Male","6"
"","13"
"Intellectual disable",""
"Female","17"
"Male","22"
"","39"
"Mental disable",""
"Female","29"
"Male","19"
"","48"
"Multiple disable",""
"Female","10"
"Male","8"
"","18"
"No disability",""
"Female","13080"
"Male","10209"
"","23289"
"Physical",""
"Female","94"
"Male","139"
"","233"
"Speech problem",""
"Female","29"
"Male","36"
"","65"
