"Population by Educational Attainment","Number"
"Beginners",""
"Female","441"
"Male","598"
"Graduate and Equivalent",""
"Female","261"
"Male","554"
"Intermediate and Equivalent",""
"Female","841"
"Male","1126"
"Level not Stated",""
"Female","94"
"Male","141"
"Lower Secondary (Class 6-8)",""
"Female","3835"
"Male","3745"
"Non Formal Education",""
"Female","802"
"Male","893"
"Others",""
"Female","1"
"Male","2"
"Post Graduate Equivalent and Above",""
"Female","37"
"Male","169"
"Primary Education (1-5 Class)",""
"Female","5829"
"Male","6069"
"Secondary Level (Class 9-10)",""
"Female","2983"
"Male","2860"
"SLC and Equivalent",""
"Female","2259"
"Male","2263"
