"Population by disability type","Number"
"Blind/low vision",""
"Female","52"
"Male","33"
"","85"
"Deaf/hard of hearing",""
"Female","33"
"Male","36"
"","69"
"Deaf-Blind",""
"Female","4"
"Male","5"
"","9"
"Intellectual disable",""
"Female","5"
"Male","6"
"","11"
"Mental disable",""
"Female","17"
"Male","9"
"","26"
"Multiple disable",""
"Female","18"
"Male","23"
"","41"
"No disability",""
"Female","10556"
"Male","8838"
"","19394"
"Physical",""
"Female","76"
"Male","126"
"","202"
"Speech problem",""
"Female","20"
"Male","19"
"","39"
