"Population by Educational Attainment","Number"
"Beginners",""
"Female","211"
"Male","238"
"","449"
"Graduate and Equivalent",""
"Female","32"
"Male","95"
"","127"
"Intermediate and Equivalent",""
"Female","300"
"Male","351"
"","651"
"Level not Stated",""
"Female","3"
"Male","11"
"","14"
"Lower Secondary (Class 6-8)",""
"Female","1192"
"Male","1296"
"","2488"
"Non Formal Education",""
"Female","310"
"Male","210"
"","520"
"Others",""
"Female","10"
"Male","12"
"","22"
"Post Graduate Equivalent and Above",""
"Female","5"
"Male","40"
"","45"
"Primary Education (1-5 Class)",""
"Female","2398"
"Male","2687"
"","5085"
"Secondary Level (Class 9-10)",""
"Female","637"
"Male","746"
"","1383"
"SLC and Equivalent",""
"Female","430"
"Male","554"
"","984"
