"Population by disability type","Number"
"Blind/low vision",""
"Female","39"
"Male","55"
"","94"
"Deaf/hard of hearing",""
"Female","53"
"Male","48"
"","101"
"Deaf-Blind",""
"Female","0"
"Male","0"
"","0"
"Intellectual disable",""
"Female","3"
"Male","5"
"","8"
"Mental disable",""
"Female","23"
"Male","15"
"","38"
"Multiple disable",""
"Female","29"
"Male","26"
"","55"
"No disability",""
"Female","12495"
"Male","9388"
"","21883"
"Physical",""
"Female","64"
"Male","103"
"","167"
"Speech problem",""
"Female","21"
"Male","25"
"","46"
