"Population by Caste Ethinicity","Number"
"Amat",""
"Female","7"
"Male","11"
"","18"
"Badhaee",""
"Female","52"
"Male","65"
"","117"
"Badi",""
"Female","37"
"Male","36"
"","73"
"Bahing",""
"Female","6"
"Male","6"
"","12"
"Bangali",""
"Female","123"
"Male","175"
"","298"
"Bantaba",""
"Female","184"
"Male","151"
"","335"
"Bantar/Sardar",""
"Female","2071"
"Male","2092"
"","4163"
"Baraee",""
"Female","46"
"Male","52"
"","98"
"Bhote",""
"Female","16"
"Male","8"
"","24"
"Brahman - Hill",""
"Female","12526"
"Male","11343"
"","23869"
"Brahman - Tarai",""
"Female","379"
"Male","421"
"","800"
"Chamar/ Harijan/ Ram",""
"Female","316"
"Male","282"
"","598"
"Chamling",""
"Female","94"
"Male","72"
"","166"
"Chhetri",""
"Female","12657"
"Male","10925"
"","23582"
"Dalit Others",""
"Female","94"
"Male","90"
"","184"
"Damai/Dholi",""
"Female","939"
"Male","817"
"","1756"
"Danuwar",""
"Female","322"
"Male","270"
"","592"
"Dev",""
"Female","5"
"Male","9"
"","14"
"Dhanuk",""
"Female","168"
"Male","267"
"","435"
"Dhimal",""
"Female","138"
"Male","108"
"","246"
"Dhobi",""
"Female","18"
"Male","23"
"","41"
"Dhunia",""
"Female","49"
"Male","64"
"","113"
"Dom",""
"Female","118"
"Male","137"
"","255"
"Dusadh/ Pasawan/ Pasi",""
"Female","197"
"Male","201"
"","398"
"Foreigner",""
"Female","17"
"Male","8"
"","25"
"Gaderi/Bhedihar",""
"Female","6"
"Male","8"
"","14"
"Gangai",""
"Female","6"
"Male","14"
"","20"
"Ghale",""
"Female","21"
"Male","10"
"","31"
"Gharti/Bhujel",""
"Female","642"
"Male","548"
"","1190"
"Gurung",""
"Female","1266"
"Male","918"
"","2184"
"Hajam/Thakur",""
"Female","318"
"Male","305"
"","623"
"Halwai",""
"Female","520"
"Male","532"
"","1052"
"Janajati Others",""
"Female","13"
"Male","15"
"","28"
"Jhangad/ Dhagar",""
"Female","29"
"Male","40"
"","69"
"Kalwar",""
"Female","223"
"Male","246"
"","469"
"Kami",""
"Female","1655"
"Male","1551"
"","3206"
"Kathabaniyan",""
"Female","226"
"Male","276"
"","502"
"Kayastha",""
"Female","81"
"Male","92"
"","173"
"Kewat",""
"Female","25"
"Male","31"
"","56"
"Khaling",""
"Female","9"
"Male","12"
"","21"
"Khatwe",""
"Female","32"
"Male","37"
"","69"
"Khawas",""
"Female","145"
"Male","151"
"","296"
"Koche",""
"Female","10"
"Male","13"
"","23"
"Koiri/Kushwaha",""
"Female","133"
"Male","217"
"","350"
"Kulung",""
"Female","50"
"Male","40"
"","90"
"Kumal",""
"Female","84"
"Male","64"
"","148"
"Kumhar",""
"Female","9"
"Male","11"
"","20"
"Kurmi",""
"Female","24"
"Male","37"
"","61"
"Lepcha",""
"Female","9"
"Male","5"
"","14"
"Limbu",""
"Female","2270"
"Male","1869"
"","4139"
"Lohar",""
"Female","30"
"Male","32"
"","62"
"Loharung",""
"Female","10"
"Male","7"
"","17"
"Magar",""
"Female","1589"
"Male","1374"
"","2963"
"Majhi",""
"Female","257"
"Male","245"
"","502"
"Mali",""
"Female","10"
"Male","10"
"","20"
"Mallaha",""
"Female","77"
"Male","99"
"","176"
"Marwadi",""
"Female","267"
"Male","307"
"","574"
"Musahar",""
"Female","973"
"Male","930"
"","1903"
"Musalman",""
"Female","2235"
"Male","2356"
"","4591"
"Nachhiring",""
"Female","23"
"Male","25"
"","48"
"Natuwa",""
"Female","6"
"Male","11"
"","17"
"Newar",""
"Female","3248"
"Male","2819"
"","6067"
"Nuniya",""
"Female","12"
"Male","17"
"","29"
"Others",""
"Female","42"
"Male","54"
"","96"
"Pattharkatta/ Kushwadiya",""
"Female","44"
"Male","34"
"","78"
"Punjabi/Sikh",""
"Female","53"
"Male","54"
"","107"
"Rai",""
"Female","6296"
"Male","5108"
"","11404"
"Rajbansi",""
"Female","154"
"Male","164"
"","318"
"Rajput",""
"Female","207"
"Male","245"
"","452"
"Samgpang",""
"Female","62"
"Male","55"
"","117"
"Sanyasi/Dasnami",""
"Female","1163"
"Male","913"
"","2076"
"Sarki",""
"Female","232"
"Male","196"
"","428"
"Satar/ Santhal",""
"Female","26"
"Male","24"
"","50"
"Sherpa",""
"Female","92"
"Male","79"
"","171"
"Sonar",""
"Female","65"
"Male","65"
"","130"
"Sudhi",""
"Female","108"
"Male","112"
"","220"
"Sunuwar",""
"Female","80"
"Male","81"
"","161"
"Tamang",""
"Female","2328"
"Male","1876"
"","4204"
"Tatma/Tatwa",""
"Female","22"
"Male","14"
"","36"
"Teli",""
"Female","722"
"Male","821"
"","1543"
"Terai Others",""
"Female","102"
"Male","131"
"","233"
"Thakuri",""
"Female","64"
"Male","62"
"","126"
"Thami",""
"Female","26"
"Male","13"
"","39"
"Tharu",""
"Female","14375"
"Male","12902"
"","27277"
"Thulung",""
"Female","49"
"Male","58"
"","107"
"Undefined Others",""
"Female","196"
"Male","156"
"","352"
"Yadav",""
"Female","257"
"Male","392"
"","649"
"Yakkha",""
"Female","64"
"Male","50"
"","114"
