"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","10"
"Male","11"
"Brahman - Hill",""
"Female","248"
"Male","217"
"Chhetri",""
"Female","2272"
"Male","2041"
"Damai/Dholi",""
"Female","307"
"Male","254"
"Gharti/Bhujel",""
"Female","274"
"Male","241"
"Gurung",""
"Female","198"
"Male","164"
"Kami",""
"Female","559"
"Male","519"
"Magar",""
"Female","52"
"Male","39"
"Majhi",""
"Female","75"
"Male","60"
"Nachhiring",""
"Female","6"
"Male","5"
"Newar",""
"Female","75"
"Male","64"
"Others",""
"Female","26"
"Male","38"
"Pattharkatta/ Kushwadiya",""
"Female","8"
"Male","14"
"Rai",""
"Female","3368"
"Male","3173"
"Sanyasi/Dasnami",""
"Female","332"
"Male","294"
"Sarki",""
"Female","143"
"Male","136"
"Sherpa",""
"Female","154"
"Male","158"
"Sonar",""
"Female","13"
"Male","10"
"Sunuwar",""
"Female","54"
"Male","42"
"Tamang",""
"Female","1711"
"Male","1618"
"Tharu",""
"Female","6"
"Male","5"
"Thulung",""
"Female","350"
"Male","328"
