"Population by Educational Attainment","Number"
"Beginners",""
"Female","363"
"Male","447"
"","810"
"Graduate and Equivalent",""
"Female","43"
"Male","103"
"","146"
"Intermediate and Equivalent",""
"Female","279"
"Male","242"
"","521"
"Level not Stated",""
"Female","12"
"Male","9"
"","21"
"Lower Secondary (Class 6-8)",""
"Female","1857"
"Male","1468"
"","3325"
"Non Formal Education",""
"Female","501"
"Male","386"
"","887"
"Others",""
"Female","1"
"Male","1"
"","2"
"Post Graduate Equivalent and Above",""
"Female","7"
"Male","46"
"","53"
"Primary Education (1-5 Class)",""
"Female","3122"
"Male","2946"
"","6068"
"Secondary Level (Class 9-10)",""
"Female","976"
"Male","792"
"","1768"
"SLC and Equivalent",""
"Female","783"
"Male","655"
"","1438"
