"Population by Caste/Ethinicity","Number"
"Badhaee",""
"Female","52"
"Male","65"
"Bangali",""
"Female","37"
"Male","35"
"Baraee",""
"Female","84"
"Male","119"
"Bin",""
"Female","100"
"Male","101"
"Brahman - Hill",""
"Female","76"
"Male","51"
"Brahman - Tarai",""
"Female","153"
"Male","187"
"Chamar/ Harijan/ Ram",""
"Female","394"
"Male","399"
"Chhetri",""
"Female","8"
"Male","7"
"Dalit Others",""
"Female","23"
"Male","20"
"Dhobi",""
"Female","477"
"Male","440"
"Dhunia",""
"Female","4"
"Male","7"
"Dom",""
"Female","8"
"Male","10"
"Dusadh/ Pasawan/ Pasi",""
"Female","721"
"Male","754"
"Hajam/Thakur",""
"Female","289"
"Male","318"
"Kahar",""
"Female","25"
"Male","22"
"Kalwar",""
"Female","489"
"Male","536"
"Kami",""
"Female","9"
"Male","6"
"Kanu",""
"Female","1280"
"Male","1415"
"Kayastha",""
"Female","23"
"Male","22"
"Koiri/Kushwaha",""
"Female","800"
"Male","878"
"Kumal",""
"Female","13"
"Male","16"
"Kumhar",""
"Female","570"
"Male","584"
"Kurmi",""
"Female","2402"
"Male","2464"
"Limbu",""
"Female","13"
"Male","12"
"Lohar",""
"Female","323"
"Male","280"
"Mali",""
"Female","70"
"Male","93"
"Mallaha",""
"Female","62"
"Male","81"
"Mewahang Bala",""
"Female","64"
"Male","56"
"Musahar",""
"Female","170"
"Male","205"
"Musalman",""
"Female","3548"
"Male","3567"
"Natuwa",""
"Female","9"
"Male","11"
"Nuniya",""
"Female","106"
"Male","121"
"Others",""
"Female","32"
"Male","16"
"Sanyasi/Dasnami",""
"Female","71"
"Male","69"
"Sonar",""
"Female","23"
"Male","28"
"Sunuwar",""
"Female","17"
"Male","13"
"Tatma/Tatwa",""
"Female","465"
"Male","447"
"Teli",""
"Female","689"
"Male","768"
"Tharu",""
"Female","21"
"Male","24"
"Yadav",""
"Female","1972"
"Male","2204"
