"Population by disability type","Number"
"Blind/low vision",""
"Female","54"
"Male","57"
"","111"
"Deaf/hard of hearing",""
"Female","36"
"Male","33"
"","69"
"Deaf-Blind",""
"Female","6"
"Male","5"
"","11"
"Intellectual disable",""
"Female","4"
"Male","3"
"","7"
"Mental disable",""
"Female","9"
"Male","13"
"","22"
"Multiple disable",""
"Female","14"
"Male","16"
"","30"
"No disability",""
"Female","10843"
"Male","9899"
"","20742"
"Physical",""
"Female","91"
"Male","103"
"","194"
"Speech problem",""
"Female","12"
"Male","33"
"","45"
