"Population by Educational Attainment","Number"
"Beginners",""
"Female","694"
"Male","805"
"","1499"
"Graduate and Equivalent",""
"Female","208"
"Male","382"
"","590"
"Intermediate and Equivalent",""
"Female","900"
"Male","1020"
"","1920"
"Level not Stated",""
"Female","91"
"Male","102"
"","193"
"Lower Secondary (Class 6-8)",""
"Female","5148"
"Male","4456"
"","9604"
"Non Formal Education",""
"Female","1302"
"Male","1440"
"","2742"
"Others",""
"Female","1"
"Male","0"
"","1"
"Post Graduate Equivalent and Above",""
"Female","32"
"Male","124"
"","156"
"Primary Education (1-5 Class)",""
"Female","6944"
"Male","7242"
"","14186"
"Secondary Level (Class 9-10)",""
"Female","3336"
"Male","2920"
"","6256"
"SLC and Equivalent",""
"Female","2978"
"Male","2703"
"","5681"
