"Population by disability type","Number"
"Blind/low vision",""
"Female","28"
"Male","32"
"","60"
"Deaf/hard of hearing",""
"Female","26"
"Male","33"
"","59"
"Deaf-Blind",""
"Female","2"
"Male","8"
"","10"
"Intellectual disable",""
"Female","2"
"Male","2"
"","4"
"Mental disable",""
"Female","13"
"Male","5"
"","18"
"Multiple disable",""
"Female","28"
"Male","34"
"","62"
"No disability",""
"Female","6133"
"Male","5542"
"","11675"
"Physical",""
"Female","72"
"Male","101"
"","173"
"Speech problem",""
"Female","18"
"Male","20"
"","38"
