"Population by disability type","Number"
"Blind/low vision",""
"Female","44"
"Male","40"
"","84"
"Deaf/hard of hearing",""
"Female","34"
"Male","50"
"","84"
"Deaf-Blind",""
"Female","2"
"Male","1"
"","3"
"Intellectual disable",""
"Female","2"
"Male","5"
"","7"
"Mental disable",""
"Female","9"
"Male","16"
"","25"
"Multiple disable",""
"Female","8"
"Male","21"
"","29"
"No disability",""
"Female","7877"
"Male","6521"
"","14398"
"Physical",""
"Female","96"
"Male","85"
"","181"
"Speech problem",""
"Female","12"
"Male","15"
"","27"
