"Population by disability type","Number"
"Blind/low vision",""
"Female","85"
"Male","85"
"","170"
"Deaf/hard of hearing",""
"Female","76"
"Male","68"
"","144"
"Deaf-Blind",""
"Female","12"
"Male","8"
"","20"
"Intellectual disable",""
"Female","16"
"Male","11"
"","27"
"Mental disable",""
"Female","38"
"Male","17"
"","55"
"Multiple disable",""
"Female","39"
"Male","34"
"","73"
"No disability",""
"Female","39643"
"Male","40935"
"","80578"
"Physical",""
"Female","112"
"Male","157"
"","269"
"Speech problem",""
"Female","46"
"Male","61"
"","107"
