"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","10181"
"Male","8098"
"","18279"
"Brahman - Tarai",""
"Female","5"
"Male","8"
"","13"
"Chhantyal/Chhantel",""
"Female","98"
"Male","81"
"","179"
"Chhetri",""
"Female","8034"
"Male","6166"
"","14200"
"Dalit Others",""
"Female","39"
"Male","44"
"","83"
"Damai/Dholi",""
"Female","1595"
"Male","1128"
"","2723"
"Gaine",""
"Female","44"
"Male","38"
"","82"
"Gharti/Bhujel",""
"Female","12"
"Male","5"
"","17"
"Gurung",""
"Female","68"
"Male","76"
"","144"
"Hajam/Thakur",""
"Female","6"
"Male","8"
"","14"
"Halwai",""
"Female","8"
"Male","10"
"","18"
"Kami",""
"Female","1668"
"Male","1297"
"","2965"
"Kathabaniyan",""
"Female","6"
"Male","12"
"","18"
"Kumal",""
"Female","35"
"Male","28"
"","63"
"Magar",""
"Female","5037"
"Male","3950"
"","8987"
"Majhi",""
"Female","91"
"Male","58"
"","149"
"Musalman",""
"Female","168"
"Male","182"
"","350"
"Newar",""
"Female","1082"
"Male","927"
"","2009"
"Others",""
"Female","55"
"Male","53"
"","108"
"Rai",""
"Female","33"
"Male","39"
"","72"
"Sanyasi/Dasnami",""
"Female","39"
"Male","38"
"","77"
"Sarki",""
"Female","3333"
"Male","2701"
"","6034"
"Sonar",""
"Female","20"
"Male","22"
"","42"
"Sunuwar",""
"Female","5"
"Male","7"
"","12"
"Tamang",""
"Female","70"
"Male","81"
"","151"
"Teli",""
"Female","16"
"Male","30"
"","46"
"Terai Others",""
"Female","10"
"Male","14"
"","24"
"Thakali",""
"Female","57"
"Male","57"
"","114"
"Thakuri",""
"Female","436"
"Male","327"
"","763"
"Tharu",""
"Female","19"
"Male","49"
"","68"
"Yadav",""
"Female","5"
"Male","14"
"","19"
