"Population by disability type","Number"
"Blind/low vision",""
"Female","76"
"Male","78"
"","154"
"Deaf/hard of hearing",""
"Female","74"
"Male","63"
"","137"
"Deaf-Blind",""
"Female","8"
"Male","8"
"","16"
"Intellectual disable",""
"Female","22"
"Male","17"
"","39"
"Mental disable",""
"Female","57"
"Male","55"
"","112"
"Multiple disable",""
"Female","38"
"Male","45"
"","83"
"No disability",""
"Female","31737"
"Male","24975"
"","56712"
"Physical",""
"Female","183"
"Male","234"
"","417"
"Speech problem",""
"Female","80"
"Male","73"
"","153"
