"Population by Educational Attainment","Number"
"Beginners",""
"Female","841"
"Male","982"
"","1823"
"Graduate and Equivalent",""
"Female","437"
"Male","763"
"","1200"
"Intermediate and Equivalent",""
"Female","1678"
"Male","1639"
"","3317"
"Level not Stated",""
"Female","53"
"Male","46"
"","99"
"Lower Secondary (Class 6-8)",""
"Female","4539"
"Male","3756"
"","8295"
"Non Formal Education",""
"Female","1438"
"Male","992"
"","2430"
"Others",""
"Female","9"
"Male","6"
"","15"
"Post Graduate Equivalent and Above",""
"Female","65"
"Male","299"
"","364"
"Primary Education (1-5 Class)",""
"Female","6400"
"Male","6184"
"","12584"
"Secondary Level (Class 9-10)",""
"Female","2960"
"Male","2584"
"","5544"
"SLC and Equivalent",""
"Female","3384"
"Male","3168"
"","6552"
