"Population by disability type","Number"
"Blind/low vision",""
"Female","115"
"Male","148"
"","263"
"Deaf/hard of hearing",""
"Female","134"
"Male","129"
"","263"
"Deaf-Blind",""
"Female","14"
"Male","17"
"","31"
"Intellectual disable",""
"Female","23"
"Male","22"
"","45"
"Mental disable",""
"Female","58"
"Male","70"
"","128"
"Multiple disable",""
"Female","70"
"Male","65"
"","135"
"No disability",""
"Female","41085"
"Male","34643"
"","75728"
"Physical",""
"Female","243"
"Male","364"
"","607"
"Speech problem",""
"Female","104"
"Male","103"
"","207"
