"Population by Caste Ethinicity","Number"
"Badhaee",""
"Female","7"
"Male","6"
"","13"
"Badi",""
"Female","41"
"Male","31"
"","72"
"Bahing",""
"Female","61"
"Male","42"
"","103"
"Bangali",""
"Female","420"
"Male","366"
"","786"
"Bantaba",""
"Female","287"
"Male","232"
"","519"
"Bantar/Sardar",""
"Female","68"
"Male","65"
"","133"
"Baraee",""
"Female","27"
"Male","20"
"","47"
"Bhote",""
"Female","126"
"Male","116"
"","242"
"Brahman - Hill",""
"Female","4634"
"Male","3729"
"","8363"
"Brahman - Tarai",""
"Female","201"
"Male","155"
"","356"
"Byasi/Sauka",""
"Female","49"
"Male","47"
"","96"
"Chamar/ Harijan/ Ram",""
"Female","394"
"Male","350"
"","744"
"Chamling",""
"Female","163"
"Male","123"
"","286"
"Chhetri",""
"Female","9540"
"Male","7663"
"","17203"
"Dalit Others",""
"Female","15"
"Male","16"
"","31"
"Damai/Dholi",""
"Female","732"
"Male","569"
"","1301"
"Danuwar",""
"Female","27"
"Male","38"
"","65"
"Dev",""
"Female","11"
"Male","7"
"","18"
"Dhanuk",""
"Female","550"
"Male","543"
"","1093"
"Dhimal",""
"Female","1359"
"Male","1159"
"","2518"
"Dhobi",""
"Female","67"
"Male","59"
"","126"
"Dom",""
"Female","33"
"Male","32"
"","65"
"Dusadh/ Pasawan/ Pasi",""
"Female","62"
"Male","50"
"","112"
"Foreigner",""
"Female","10"
"Male","13"
"","23"
"Gaderi/Bhedihar",""
"Female","112"
"Male","95"
"","207"
"Gharti/Bhujel",""
"Female","292"
"Male","248"
"","540"
"Gurung",""
"Female","300"
"Male","243"
"","543"
"Hajam/Thakur",""
"Female","153"
"Male","125"
"","278"
"Halkhor",""
"Female","4"
"Male","8"
"","12"
"Halwai",""
"Female","257"
"Male","277"
"","534"
"Jhangad/ Dhagar",""
"Female","1427"
"Male","1212"
"","2639"
"Kalwar",""
"Female","38"
"Male","39"
"","77"
"Kami",""
"Female","1447"
"Male","1180"
"","2627"
"Kanu",""
"Female","7"
"Male","10"
"","17"
"Kathabaniyan",""
"Female","159"
"Male","163"
"","322"
"Kayastha",""
"Female","43"
"Male","32"
"","75"
"Kewat",""
"Female","9"
"Male","7"
"","16"
"Khatwe",""
"Female","260"
"Male","239"
"","499"
"Khawas",""
"Female","82"
"Male","96"
"","178"
"Koiri/Kushwaha",""
"Female","376"
"Male","364"
"","740"
"Kulung",""
"Female","497"
"Male","480"
"","977"
"Kumal",""
"Female","43"
"Male","32"
"","75"
"Kumhar",""
"Female","6"
"Male","18"
"","24"
"Kurmi",""
"Female","12"
"Male","8"
"","20"
"Limbu",""
"Female","1372"
"Male","1166"
"","2538"
"Lohar",""
"Female","16"
"Male","18"
"","34"
"Loharung",""
"Female","22"
"Male","24"
"","46"
"Magar",""
"Female","1975"
"Male","1800"
"","3775"
"Majhi",""
"Female","972"
"Male","848"
"","1820"
"Mallaha",""
"Female","127"
"Male","126"
"","253"
"Marwadi",""
"Female","82"
"Male","77"
"","159"
"Musahar",""
"Female","958"
"Male","903"
"","1861"
"Musalman",""
"Female","860"
"Male","867"
"","1727"
"Newar",""
"Female","1497"
"Male","1301"
"","2798"
"Nuniya",""
"Female","15"
"Male","16"
"","31"
"Others",""
"Female","38"
"Male","34"
"","72"
"Punjabi/Sikh",""
"Female","46"
"Male","40"
"","86"
"Rai",""
"Female","3867"
"Male","3213"
"","7080"
"Rajbhar",""
"Female","13"
"Male","11"
"","24"
"Rajput",""
"Female","50"
"Male","37"
"","87"
"Samgpang",""
"Female","25"
"Male","19"
"","44"
"Sanyasi/Dasnami",""
"Female","234"
"Male","186"
"","420"
"Sarbaria",""
"Female","92"
"Male","108"
"","200"
"Sarki",""
"Female","387"
"Male","317"
"","704"
"Sherpa",""
"Female","116"
"Male","116"
"","232"
"Sonar",""
"Female","55"
"Male","53"
"","108"
"Sudhi",""
"Female","131"
"Male","123"
"","254"
"Sunuwar",""
"Female","131"
"Male","105"
"","236"
"Tamang",""
"Female","1037"
"Male","849"
"","1886"
"Tatma/Tatwa",""
"Female","78"
"Male","63"
"","141"
"Teli",""
"Female","416"
"Male","432"
"","848"
"Terai Others",""
"Female","78"
"Male","69"
"","147"
"Thakuri",""
"Female","87"
"Male","69"
"","156"
"Tharu",""
"Female","2210"
"Male","1837"
"","4047"
"Thulung",""
"Female","49"
"Male","42"
"","91"
"Undefined Others",""
"Female","53"
"Male","42"
"","95"
"Yadav",""
"Female","261"
"Male","277"
"","538"
"Yakkha",""
"Female","69"
"Male","55"
"","124"
"Yamphu",""
"Female","19"
"Male","11"
"","30"
