"Industries Employment","Number"
"Accommodation,  food",""
"Female","1597"
"Male","1662"
"Administrative, support service",""
"Female","7"
"Male","18"
"Agriculture, forestry and  fishing",""
"Female","256"
"Male","575"
"Arts, entertainment, recreation",""
"Female","5"
"Male","22"
"Construction",""
"Female","0"
"Male","53"
"Education",""
"Female","2681"
"Male","3272"
"Electricity, gas and water",""
"Female","11"
"Male","84"
"Financial intermediation and insurance",""
"Female","367"
"Male","434"
"Health, social work",""
"Female","1127"
"Male","863"
"Information and communication",""
"Female","55"
"Male","136"
"Manufacturing",""
"Female","604"
"Male","1635"
"Other service activities",""
"Female","207"
"Male","439"
"Professional, scientific, techniqual activity",""
"Female","26"
"Male","103"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","23"
"Male","64"
"Water supply, wet management",""
"Female","13"
"Male","100"
"Wholesale, retail trade",""
"Female","3835"
"Male","4628"
