"Population by disability type","Number"
"Blind/low vision",""
"Female","45"
"Male","52"
"","97"
"Deaf/hard of hearing",""
"Female","23"
"Male","26"
"","49"
"Deaf-Blind",""
"Female","5"
"Male","6"
"","11"
"Intellectual disable",""
"Female","5"
"Male","16"
"","21"
"Mental disable",""
"Female","21"
"Male","23"
"","44"
"Multiple disable",""
"Female","12"
"Male","15"
"","27"
"No disability",""
"Female","11007"
"Male","9699"
"","20706"
"Physical",""
"Female","108"
"Male","119"
"","227"
"Speech problem",""
"Female","16"
"Male","47"
"","63"
