"Population by disability type","Number"
"Blind/low vision",""
"Female","30"
"Male","43"
"","73"
"Deaf/hard of hearing",""
"Female","15"
"Male","22"
"","37"
"Deaf-Blind",""
"Female","5"
"Male","6"
"","11"
"Intellectual disable",""
"Female","4"
"Male","10"
"","14"
"Mental disable",""
"Female","18"
"Male","26"
"","44"
"Multiple disable",""
"Female","25"
"Male","28"
"","53"
"No disability",""
"Female","15237"
"Male","15438"
"","30675"
"Physical",""
"Female","81"
"Male","112"
"","193"
"Speech problem",""
"Female","37"
"Male","41"
"","78"
