"Population by Educational Attainment","Number"
"Beginners",""
"Female","701"
"Male","687"
"Graduate and Equivalent",""
"Female","11"
"Male","92"
"Intermediate and Equivalent",""
"Female","113"
"Male","419"
"Level not Stated",""
"Female","26"
"Male","22"
"Lower Secondary (Class 6-8)",""
"Female","931"
"Male","1702"
"Non Formal Education",""
"Female","198"
"Male","193"
"Others",""
"Female","2"
"Male","5"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","15"
"Primary Education (1-5 Class)",""
"Female","3295"
"Male","3992"
"Secondary Level (Class 9-10)",""
"Female","265"
"Male","689"
"SLC and Equivalent",""
"Female","177"
"Male","591"
