"Population by Caste Ethinicity","Number"
"Badi",""
"Female","48"
"Male","47"
"","95"
"Bangali",""
"Female","14"
"Male","17"
"","31"
"Baraee",""
"Female","9"
"Male","7"
"","16"
"Brahman - Hill",""
"Female","3651"
"Male","3052"
"","6703"
"Brahman - Tarai",""
"Female","342"
"Male","300"
"","642"
"Chamar/ Harijan/ Ram",""
"Female","19"
"Male","15"
"","34"
"Chhetri",""
"Female","2295"
"Male","1901"
"","4196"
"Dalit Others",""
"Female","22"
"Male","17"
"","39"
"Damai/Dholi",""
"Female","150"
"Male","112"
"","262"
"Dhanuk",""
"Female","41"
"Male","31"
"","72"
"Gangai",""
"Female","199"
"Male","170"
"","369"
"Gharti/Bhujel",""
"Female","132"
"Male","113"
"","245"
"Gurung",""
"Female","47"
"Male","39"
"","86"
"Hajam/Thakur",""
"Female","96"
"Male","79"
"","175"
"Halwai",""
"Female","114"
"Male","116"
"","230"
"Janajati Others",""
"Female","13"
"Male","13"
"","26"
"Kahar",""
"Female","12"
"Male","11"
"","23"
"Kalwar",""
"Female","59"
"Male","59"
"","118"
"Kami",""
"Female","196"
"Male","178"
"","374"
"Kanu",""
"Female","9"
"Male","11"
"","20"
"Kathabaniyan",""
"Female","29"
"Male","29"
"","58"
"Kewat",""
"Female","17"
"Male","11"
"","28"
"Khatwe",""
"Female","32"
"Male","28"
"","60"
"Koiri/Kushwaha",""
"Female","11"
"Male","16"
"","27"
"Kumal",""
"Female","135"
"Male","123"
"","258"
"Kurmi",""
"Female","30"
"Male","34"
"","64"
"Limbu",""
"Female","746"
"Male","634"
"","1380"
"Magar",""
"Female","155"
"Male","134"
"","289"
"Majhi",""
"Female","171"
"Male","172"
"","343"
"Mallaha",""
"Female","45"
"Male","46"
"","91"
"Meche",""
"Female","82"
"Male","79"
"","161"
"Musahar",""
"Female","20"
"Male","15"
"","35"
"Musalman",""
"Female","1655"
"Male","1472"
"","3127"
"Newar",""
"Female","442"
"Male","385"
"","827"
"Nuniya",""
"Female","21"
"Male","24"
"","45"
"Others",""
"Female","49"
"Male","37"
"","86"
"Pattharkatta/ Kushwadiya",""
"Female","15"
"Male","14"
"","29"
"Punjabi/Sikh",""
"Female","66"
"Male","57"
"","123"
"Rai",""
"Female","334"
"Male","310"
"","644"
"Rajbansi",""
"Female","3780"
"Male","3381"
"","7161"
"Rajput",""
"Female","7"
"Male","11"
"","18"
"Sanyasi/Dasnami",""
"Female","120"
"Male","108"
"","228"
"Sarki",""
"Female","19"
"Male","16"
"","35"
"Satar/ Santhal",""
"Female","1343"
"Male","1289"
"","2632"
"Sherpa",""
"Female","31"
"Male","23"
"","54"
"Sonar",""
"Female","31"
"Male","17"
"","48"
"Sudhi",""
"Female","38"
"Male","34"
"","72"
"Sunuwar",""
"Female","30"
"Male","23"
"","53"
"Tajpuriya",""
"Female","80"
"Male","76"
"","156"
"Tamang",""
"Female","374"
"Male","301"
"","675"
"Teli",""
"Female","307"
"Male","283"
"","590"
"Terai Others",""
"Female","18"
"Male","20"
"","38"
"Tharu",""
"Female","119"
"Male","96"
"","215"
"Undefined Others",""
"Female","38"
"Male","37"
"","75"
"Yadav",""
"Female","85"
"Male","87"
"","172"
