"Population by disability type","Number"
"Blind/low vision",""
"Female","79"
"Male","80"
"","159"
"Deaf/hard of hearing",""
"Female","65"
"Male","41"
"","106"
"Deaf-Blind",""
"Female","7"
"Male","1"
"","8"
"Intellectual disable",""
"Female","16"
"Male","11"
"","27"
"Mental disable",""
"Female","19"
"Male","25"
"","44"
"Multiple disable",""
"Female","20"
"Male","12"
"","32"
"No disability",""
"Female","30783"
"Male","30748"
"","61531"
"Physical",""
"Female","82"
"Male","112"
"","194"
"Speech problem",""
"Female","30"
"Male","41"
"","71"
