"Population by disability type","Number"
"Blind/low vision",""
"Female","60"
"Male","59"
"","119"
"Deaf/hard of hearing",""
"Female","37"
"Male","36"
"","73"
"Deaf-Blind",""
"Female","5"
"Male","6"
"","11"
"Intellectual disable",""
"Female","21"
"Male","18"
"","39"
"Mental disable",""
"Female","27"
"Male","52"
"","79"
"Multiple disable",""
"Female","28"
"Male","42"
"","70"
"No disability",""
"Female","37988"
"Male","37614"
"","75602"
"Physical",""
"Female","108"
"Male","211"
"","319"
"Speech problem",""
"Female","35"
"Male","47"
"","82"
