"Population by Mother tongue","Number"
"Achhami",""
"Female","13"
"Male","9"
"Angika",""
"Female","9263"
"Male","9277"
"Athpariya",""
"Female","15"
"Male","7"
"Avadhi",""
"Female","529"
"Male","464"
"Bahing",""
"Female","150"
"Male","131"
"Bangla",""
"Female","1815"
"Male","2019"
"Bantawa",""
"Female","4589"
"Male","3964"
"Bhojpuri",""
"Female","3662"
"Male","3933"
"Bhujel",""
"Female","6372"
"Male","5783"
"Chamling",""
"Female","2672"
"Male","2348"
"Chepang",""
"Female","76"
"Male","58"
"Danuwar",""
"Female","642"
"Male","580"
"Dhimal",""
"Female","5763"
"Male","4632"
"Doteli",""
"Female","61"
"Male","44"
"Dumi",""
"Female","287"
"Male","234"
"Dungmali",""
"Female","103"
"Male","99"
"English",""
"Female","5"
"Male","6"
"Ganagai",""
"Female","1190"
"Male","1103"
"Ghale",""
"Female","33"
"Male","28"
"Gurung",""
"Female","2866"
"Male","2357"
"Hariyanwi",""
"Female","117"
"Male","114"
"Hindi",""
"Female","2805"
"Male","3375"
"Hyolmo/Yholmo",""
"Female","10"
"Male","7"
"Khaling",""
"Female","170"
"Male","149"
"Khariya",""
"Female","56"
"Male","54"
"Koyee",""
"Female","156"
"Male","135"
"Kulung",""
"Female","766"
"Male","603"
"Kumal",""
"Female","35"
"Male","37"
"Limbu",""
"Female","19271"
"Male","15993"
"Lohorung",""
"Female","129"
"Male","100"
"Magahi",""
"Female","1604"
"Male","1667"
"Magar",""
"Female","10022"
"Male","8234"
"Maithili",""
"Female","110690"
"Male","116559"
"Majhi",""
"Female","862"
"Male","762"
"Meche",""
"Female","14"
"Male","12"
"Mewahang",""
"Female","98"
"Male","77"
"Nachhiring",""
"Female","147"
"Male","105"
"Nepali",""
"Female","192479"
"Male","167052"
"Newar",""
"Female","7389"
"Male","6610"
"Not Reported",""
"Female","1682"
"Male","1531"
"Oriya",""
"Female","10"
"Male","9"
"Others",""
"Female","1503"
"Male","1324"
"Puma",""
"Female","14"
"Male","19"
"Punjabi",""
"Female","11"
"Male","12"
"Rai",""
"Female","10689"
"Male","8870"
"Rajbanshi",""
"Female","18463"
"Male","17922"
"Rajsthani",""
"Female","2942"
"Male","3146"
"Sam",""
"Female","18"
"Male","10"
"Sampang",""
"Female","850"
"Male","645"
"Sanskrit",""
"Female","47"
"Male","41"
"Santhali",""
"Female","9617"
"Male","9316"
"Sherpa",""
"Female","216"
"Male","223"
"Sign Language",""
"Female","66"
"Male","73"
"Sunuwar",""
"Female","873"
"Male","924"
"Tajpuriya",""
"Female","3342"
"Male","3123"
"Tamang",""
"Female","10144"
"Male","8447"
"Thami",""
"Female","63"
"Male","57"
"Tharu",""
"Female","29928"
"Male","27281"
"Thulung",""
"Female","410"
"Male","324"
"Tilung",""
"Female","48"
"Male","38"
"Uranw/Urau",""
"Female","3143"
"Male","2992"
"Urdu",""
"Female","15259"
"Male","15676"
"Wambule",""
"Female","65"
"Male","47"
"Yakkha",""
"Female","607"
"Male","521"
"Yamphu/Yamphe",""
"Female","739"
"Male","601"
