"Population by Educational Attainment","Number"
"Beginners",""
"Female","241"
"Male","253"
"","494"
"Graduate and Equivalent",""
"Female","105"
"Male","161"
"","266"
"Intermediate and Equivalent",""
"Female","407"
"Male","461"
"","868"
"Level not Stated",""
"Female","25"
"Male","35"
"","60"
"Lower Secondary (Class 6-8)",""
"Female","1122"
"Male","1339"
"","2461"
"Non Formal Education",""
"Female","461"
"Male","371"
"","832"
"Others",""
"Female","3"
"Male","4"
"","7"
"Post Graduate Equivalent and Above",""
"Female","8"
"Male","44"
"","52"
"Primary Education (1-5 Class)",""
"Female","1806"
"Male","2161"
"","3967"
"Secondary Level (Class 9-10)",""
"Female","807"
"Male","893"
"","1700"
"SLC and Equivalent",""
"Female","613"
"Male","808"
"","1421"
