"Population by disability type","Number"
"Blind/low vision",""
"Female","27"
"Male","31"
"","58"
"Deaf/hard of hearing",""
"Female","25"
"Male","32"
"","57"
"Deaf-Blind",""
"Female","2"
"Male","4"
"","6"
"Intellectual disable",""
"Female","3"
"Male","7"
"","10"
"Mental disable",""
"Female","6"
"Male","12"
"","18"
"Multiple disable",""
"Female","14"
"Male","18"
"","32"
"No disability",""
"Female","10984"
"Male","9842"
"","20826"
"Physical",""
"Female","26"
"Male","42"
"","68"
"Speech problem",""
"Female","26"
"Male","30"
"","56"
