"Population by Educational Attainment","Number"
"Beginners",""
"Female","3365"
"Male","4556"
"Graduate and Equivalent",""
"Female","2608"
"Male","9295"
"Intermediate and Equivalent",""
"Female","7136"
"Male","15349"
"Level not Stated",""
"Female","1949"
"Male","2646"
"Lower Secondary (Class 6-8)",""
"Female","29420"
"Male","41016"
"Non Formal Education",""
"Female","3419"
"Male","4085"
"Others",""
"Female","366"
"Male","431"
"Post Graduate Equivalent and Above",""
"Female","490"
"Male","2439"
"Primary Education (1-5 Class)",""
"Female","62994"
"Male","76423"
"Secondary Level (Class 9-10)",""
"Female","14516"
"Male","27379"
"SLC and Equivalent",""
"Female","12188"
"Male","23917"
