"Population by Educational Attainment","Number"
"Beginners",""
"Female","113"
"Male","160"
"","273"
"Graduate and Equivalent",""
"Female","39"
"Male","176"
"","215"
"Intermediate and Equivalent",""
"Female","224"
"Male","619"
"","843"
"Level not Stated",""
"Female","95"
"Male","180"
"","275"
"Lower Secondary (Class 6-8)",""
"Female","686"
"Male","1476"
"","2162"
"Non Formal Education",""
"Female","74"
"Male","173"
"","247"
"Others",""
"Female","5"
"Male","13"
"","18"
"Post Graduate Equivalent and Above",""
"Female","3"
"Male","44"
"","47"
"Primary Education (1-5 Class)",""
"Female","2402"
"Male","3628"
"","6030"
"Secondary Level (Class 9-10)",""
"Female","324"
"Male","656"
"","980"
"SLC and Equivalent",""
"Female","263"
"Male","785"
"","1048"
