"Population by disability type","Number"
"Blind/low vision",""
"Female","128"
"Male","133"
"","261"
"Deaf/hard of hearing",""
"Female","30"
"Male","53"
"","83"
"Deaf-Blind",""
"Female","6"
"Male","7"
"","13"
"Intellectual disable",""
"Female","5"
"Male","10"
"","15"
"Mental disable",""
"Female","25"
"Male","25"
"","50"
"Multiple disable",""
"Female","43"
"Male","24"
"","67"
"No disability",""
"Female","20552"
"Male","21361"
"","41913"
"Physical",""
"Female","91"
"Male","144"
"","235"
"Speech problem",""
"Female","44"
"Male","54"
"","98"
