"Population by disability type","Number"
"Blind/low vision",""
"Female","2"
"Male","1"
"","3"
"Deaf/hard of hearing",""
"Female","7"
"Male","6"
"","13"
"Deaf-Blind",""
"Female","0"
"Male","0"
"","0"
"Intellectual disable",""
"Female","0"
"Male","0"
"","0"
"Mental disable",""
"Female","4"
"Male","2"
"","6"
"Multiple disable",""
"Female","1"
"Male","4"
"","5"
"No disability",""
"Female","989"
"Male","1171"
"","2160"
"Physical",""
"Female","9"
"Male","14"
"","23"
"Speech problem",""
"Female","5"
"Male","7"
"","12"
