"Population by disability type","Number"
"Blind/low vision",""
"Female","69"
"Male","57"
"","126"
"Deaf/hard of hearing",""
"Female","45"
"Male","55"
"","100"
"Deaf-Blind",""
"Female","9"
"Male","9"
"","18"
"Intellectual disable",""
"Female","8"
"Male","11"
"","19"
"Mental disable",""
"Female","19"
"Male","35"
"","54"
"Multiple disable",""
"Female","23"
"Male","30"
"","53"
"No disability",""
"Female","26985"
"Male","25495"
"","52480"
"Physical",""
"Female","124"
"Male","176"
"","300"
"Speech problem",""
"Female","53"
"Male","85"
"","138"
