"Population by disability type","Number"
"Blind/low vision",""
"Female","94"
"Male","81"
"","175"
"Deaf/hard of hearing",""
"Female","90"
"Male","102"
"","192"
"Deaf-Blind",""
"Female","6"
"Male","6"
"","12"
"Intellectual disable",""
"Female","17"
"Male","22"
"","39"
"Mental disable",""
"Female","33"
"Male","41"
"","74"
"Multiple disable",""
"Female","26"
"Male","28"
"","54"
"No disability",""
"Female","18414"
"Male","15131"
"","33545"
"Physical",""
"Female","158"
"Male","256"
"","414"
"Speech problem",""
"Female","23"
"Male","47"
"","70"
