"Population by disability type","Number"
"Blind/low vision",""
"Female","56"
"Male","52"
"","108"
"Deaf/hard of hearing",""
"Female","20"
"Male","21"
"","41"
"Deaf-Blind",""
"Female","5"
"Male","4"
"","9"
"Intellectual disable",""
"Female","5"
"Male","7"
"","12"
"Mental disable",""
"Female","9"
"Male","34"
"","43"
"Multiple disable",""
"Female","11"
"Male","9"
"","20"
"No disability",""
"Female","23199"
"Male","23529"
"","46728"
"Physical",""
"Female","59"
"Male","83"
"","142"
"Speech problem",""
"Female","14"
"Male","39"
"","53"
