"Population by disability type","Number"
"Blind/low vision",""
"Female","26"
"Male","46"
"","72"
"Deaf/hard of hearing",""
"Female","15"
"Male","16"
"","31"
"Deaf-Blind",""
"Female","6"
"Male","3"
"","9"
"Intellectual disable",""
"Female","2"
"Male","10"
"","12"
"Mental disable",""
"Female","9"
"Male","26"
"","35"
"Multiple disable",""
"Female","10"
"Male","12"
"","22"
"No disability",""
"Female","21562"
"Male","20383"
"","41945"
"Physical",""
"Female","52"
"Male","84"
"","136"
"Speech problem",""
"Female","27"
"Male","52"
"","79"
