"Population by Educational Attainment","Number"
"Beginners",""
"Female","130"
"Male","181"
"","311"
"Graduate and Equivalent",""
"Female","15"
"Male","139"
"","154"
"Intermediate and Equivalent",""
"Female","172"
"Male","512"
"","684"
"Level not Stated",""
"Female","28"
"Male","47"
"","75"
"Lower Secondary (Class 6-8)",""
"Female","1253"
"Male","1963"
"","3216"
"Non Formal Education",""
"Female","65"
"Male","120"
"","185"
"Others",""
"Female","13"
"Male","24"
"","37"
"Post Graduate Equivalent and Above",""
"Female","5"
"Male","39"
"","44"
"Primary Education (1-5 Class)",""
"Female","3795"
"Male","4819"
"","8614"
"Secondary Level (Class 9-10)",""
"Female","436"
"Male","1042"
"","1478"
"SLC and Equivalent",""
"Female","332"
"Male","969"
"","1301"
