"Population by Educational Attainment","Number"
"Beginners",""
"Female","757"
"Male","1001"
"Graduate and Equivalent",""
"Female","336"
"Male","1091"
"Intermediate and Equivalent",""
"Female","1233"
"Male","2185"
"Level not Stated",""
"Female","151"
"Male","167"
"Lower Secondary (Class 6-8)",""
"Female","3974"
"Male","5469"
"Non Formal Education",""
"Female","354"
"Male","451"
"Others",""
"Female","63"
"Male","80"
"Post Graduate Equivalent and Above",""
"Female","47"
"Male","323"
"Primary Education (1-5 Class)",""
"Female","8453"
"Male","10116"
"Secondary Level (Class 9-10)",""
"Female","2046"
"Male","3334"
"SLC and Equivalent",""
"Female","2555"
"Male","4295"
