"Population by Educational Attainment","Number"
"Beginners",""
"Female","258"
"Male","230"
"","488"
"Graduate and Equivalent",""
"Female","40"
"Male","102"
"","142"
"Intermediate and Equivalent",""
"Female","274"
"Male","321"
"","595"
"Level not Stated",""
"Female","19"
"Male","35"
"","54"
"Lower Secondary (Class 6-8)",""
"Female","1197"
"Male","1273"
"","2470"
"Non Formal Education",""
"Female","374"
"Male","242"
"","616"
"Others",""
"Female","10"
"Male","7"
"","17"
"Post Graduate Equivalent and Above",""
"Female","6"
"Male","42"
"","48"
"Primary Education (1-5 Class)",""
"Female","2433"
"Male","2744"
"","5177"
"Secondary Level (Class 9-10)",""
"Female","483"
"Male","664"
"","1147"
"SLC and Equivalent",""
"Female","404"
"Male","571"
"","975"
